driverId.int32(),driverRef.string(),nationality.string()
419,rhodes,British
420,raby,British
421,rollinson,British
422,gubby,British
423,mitter,German
424,bussinello,Italian
425,vaccarella,Italian
426,bassi,Italian
427,trintignant,French
428,collomb,French
429,andre_pilette,Belgian
430,beaufort,Dutch
431,barth,German
432,cabral,Portuguese
433,hansgen,American
434,sharp,American
435,mairesse,Belgian
436,campbell-jones,British
437,burgess,British
438,settember,American
439,estefano,Argentine
440,hall,American
441,parnell,British
442,kuhnke,German
443,ernesto_brambilla,Italian
444,lippi,Italian
445,seiffert,German
446,abate,Italian
447,starrabba,Italian
448,broeker,Canadian
449,ward,American
450,vos,Dutch
451,dochnal,American
452,monarch,American
842,gasly,French
453,lewis,British
454,ricardo_rodriguez,Mexican
455,seidel,German
456,salvadori,British
457,pon,Dutch
458,slotemaker,Dutch
459,marsh,British
460,ashmore,British
461,schiller,Swiss
462,davis,British
463,chamberlain,American
464,shelly,New Zealander
465,greene,British
466,walter,Swiss
467,prinoth,Italian
468,penske,American
469,schroeder,British
470,mayer,American
471,johnstone,South African
472,harris,South African
473,hocking,Rhodesian
474,vyver,South African
475,moss,British
476,trips,German
477,allison,British
478,herrmann,German
479,brooks,British
480,may,Swiss
481,henry_taylor,British
482,gendebien,Belgian
483,scarlatti,Italian
484,naylor,British
485,bordeu,Argentine
486,fairman,British
487,natili,Italian
488,monteverdi,Swiss
489,pirocchi,Italian
490,duke,British
491,thiele,American-Italian
492,boffa,Italian
493,ryan,Canadian
494,ruby,American
495,ken_miles,British
496,menditeguy,Argentine
497,larreta,Argentine
498,gonzalez,Argentine
499,bonomi,Argentine
500,munaron,Italian
501,schell,American
502,stacey,British
503,chimeri,Venezuelan
504,creus,Spanish
505,bristow,British
506,halford,British
507,daigh,American
508,reventlow,American
509,rathmann,American
510,goldsmith,American
511,branson,American
512,thomson,American
513,johnson,American
514,veith,American
515,tingelstad,American
516,christie,American
517,amick,American
518,darter,American
519,homeier,American
520,hartley,American
521,stevenson,American
522,grim,American
523,templeman,American
524,hurtubise,American
525,bryan,American
526,ruttman,American
527,sachs,American
528,freeland,American
529,bettenhausen,American
530,weiler,American
531,foyt,American
532,russo,American
533,boyd,American
534,force,American
535,mcwithey,American
536,sutton,American
537,dick_rathmann,American
538,herman,American
539,dempsey_wilson,American
540,mike_taylor,British
541,flockhart,British
542,piper,British
543,cabianca,Italian
544,drogo,Italian
545,gamble,American
546,owen,British
547,gould,British
548,drake,American
549,bueb,British
550,Changy,Belgian
551,filippis,Italian
552,lucienbonnet,French
553,testut,Monegasque
554,behra,French
555,paul_russo,American
556,daywalt,American
557,arnold,American
558,keller,American
559,flaherty,American
560,cheesbourg,American
561,ray_crawford,American
562,turner,American
563,weyant,American
564,larson,American
565,magill,American
566,shelby,American
567,orey,Brazilian
568,fontes,Uruguayan
569,ashdown,British
570,bill_moss,British
571,dennis_taylor,British
572,blanchard,American
573,tomaso,Argentine-Italian
574,constantine,American
575,said,American
576,cade,American
577,musso,Italian
578,hawthorn,British
579,fangio,Argentine
580,godia,Spanish
581,collins,British
582,kavanagh,Australian
583,gerini,Italian
584,kessler,American
585,emery,British
586,piotti,Italian
587,ecclestone,British
588,taramazzo,Italian
589,chiron,Monegasque
590,lewis-evans,British
591,george_amick,American
592,reece,American
593,parsons,American
594,tolan,American
595,garrett,American
596,elisian,American
597,connor,American
598,jerry_unser,American
599,bisch,American
600,goethals,Belgian
601,gibson,British
602,la_caze,French
603,guelfi,French
604,picard,French
605,bridger,British
606,portago,Spanish
607,perdisa,Italian
608,castellotti,Italian
609,simon,French
610,leston,British
611,hanks,American
612,linden,American
613,teague,American
614,edmunds,American
615,agabashian,American
616,george,American
617,macdowel,British
618,mackay-fraser,American
619,gerard,British
620,maglioli,Italian
621,england,Australian
622,landi,Brazilian
623,uria,Uruguayan
624,ramos,Brazilian
625,bayol,French
626,manzon,French
627,rosier,French
628,sweikert,American
629,griffith,American
630,dinsmore,American
631,andrews,American
